year,problem_type,problem_title,link
2017,A,Managing The Zambezi River,https://drive.google.com/file/d/1JmIeQia8NLDfosdgSKhA6K7etqIFxWov/view?usp=sharing
2017,B,Merge After Toll,https://drive.google.com/file/d/1HJzn7k6IFqGnqZjZkOqYtMcJm5cckVEH/view?usp=sharing
2017,C,Cooperate and Navigate,https://drive.google.com/file/d/15OaaxzvgytNg30YTikKnUn_W_TUueqtT/view?usp=sharing
2017,D,Optimizing the Passenger Throughput at an Airport Security Checkpoint,https://drive.google.com/file/d/1NeTLmENBgGYinBcTE3aQZ2tCGty7fvhG/view?usp=drive_link
2017,E,Sustainable Cities Needed!,https://drive.google.com/file/d/1H0cO5GyUCLYMBdiZSH6GFGroOhQFMp05/view?usp=sharing
2017,F,Migration to Mars: Utopian Workforce of the 2100 Urban Society,https://drive.google.com/file/d/1ndNozbZvt3PtTWAs4LDdu4DwWIwEwLQO/view?usp=sharing
2018,A,Multi-hop HF Radio Propagation,https://drive.google.com/file/d/1debdtWMCUq0YzLKjydch-G2WbZ-GduD0/view?usp=drive_link
2018,B,How Many Languages?,https://drive.google.com/file/d/1FPE6vKX9dqiGGD4-Ee9Dm_pc1joNuSU-/view?usp=drive_link
2018,C,The Southwest State's Energy Compact,https://drive.google.com/file/d/1Z0AUjh7fZYQTvtKUtTWPvzgfX98BgX-v/view?usp=drive_link
2018,D,"Out of Gas and Driving on E (for Electricity, not Empty)",https://drive.google.com/file/d/1h0wSXbD0UTsp_9A7HwFwGpvnXvRdp7yr/view?usp=drive_link
2018,E,Climate Change and Regional Instability,https://drive.google.com/file/d/1erJEdPYF3dv7-FbUgGp9zSz__EAwmp1x/view?usp=drive_link
2018,F,Cost of Privacy,https://drive.google.com/file/d/118OVMCKxZca5cLZAqKnyDx11_upGCcgM/view?usp=drive_link
2019,A,Game of Ecology,https://drive.google.com/file/d/1dcTAKnlaD7BznlNRgUvgerGkM5f-m5nF/view?usp=sharing
2019,B,Send in the Drones: Developing an Aerial Disaster Relief Response System,https://drive.google.com/file/d/1mTqERcbJ71mRo0OqfJhheK7-uAIGdgqq/view?usp=sharing
2019,C,The Opiod Crisis,https://drive.google.com/file/d/1Eq_Pvr4QebygCl4Bfbs6NTvR7mRhrlRd/view?usp=sharing
2019,D,Time to leave the Louvre,https://drive.google.com/file/d/1VwJGvqxiWzJXtqnCF0yWqfHR6FY6bt99/view?usp=sharing
2019,E,What is the Cost of Environmental Degradation?,https://drive.google.com/file/d/1pmhPrtTbe5iCI9SiiYvHTqX6_NZu7NJq/view?usp=sharing
2019,F,"Universal, Decentralized, Digital Currency: Is it possible?",https://drive.google.com/file/d/1-8el5jEguWe9CHb407JY3YI1YHaYnvGX/view?usp=sharing
2020,A,Moving North,https://drive.google.com/file/d/1E4dS38x6LvyVrZyHVF1FoLoFDJRy1bCD/view?usp=drive_link
2020,B,The Longest Lasting Sandcastle(s),https://drive.google.com/file/d/1kq9-1_Zf5JrMo--MhJoEn9zkkPlMlk0M/view?usp=drive_link
2020,C,A Wealth of Data,https://drive.google.com/file/d/1TuJHk6_3DeYUtnhzxS9WFBXF5nma0kQ-/view?usp=drive_link
2020,D,Teaming Strategies,https://drive.google.com/file/d/1X4-Ua5MF0R6UDumnZeEqvm6AikR85CiN/view?usp=drive_link
2020,E,Drowning in Plastic,https://drive.google.com/file/d/1zN45IOdsQykFSv2_dVAkds_GLNnI8und/view?usp=drive_link
2020,F,The Place I Called Home...,https://drive.google.com/file/d/19ZBUctGZhfQ3QdyoYgiYCQs8uRDBLMTG/view?usp=drive_link
2021,A,Fungi,https://drive.google.com/file/d/1dKZUujmbGFyT87Kw1u4s5fJyof3ie1Co/view?usp=drive_link
2021,B,Fighting Wildfires,https://drive.google.com/file/d/1ojcgRabzSKhWCUx5bsthQrSWqgZZn6uV/view?usp=drive_link
2021,C,A Confirming the Buzz about Hornets,https://drive.google.com/file/d/1g5S-D6BBHnrPT-BXaxqAXqJV6IdwV2E6/view?usp=drive_link
2021,D,The Influence of Music,https://drive.google.com/file/d/1YoIpRmuOE7LwHfdWqOZPY8KMhTYsKPsn/view?usp=drive_link
2021,E,Re-Optimizing Food Systems,https://drive.google.com/file/d/1sT82FharDOsFkxVjYdCtlOxXFYweWsUM/view?usp=drive_link
2021,F,Checking the Pulse and Temperature of Higher Education,https://drive.google.com/file/d/1KkFOdUHw0kuqKgSQnRSpGcyEiUOd7GoJ/view?usp=drive_link
2022,A,Power Profile of a Cyclist,https://drive.google.com/file/d/1jJ0tcuy4382_JV_Yw_g7PJJMyoqE5Brw/view?usp=drive_link
2022,B,Water and Hydroelectric Power Sharing,https://drive.google.com/file/d/1Pm19hzuKj-q5SRdP5TOYK8cfdi1blwKc/view?usp=drive_link
2022,C,Trading Strategies,https://drive.google.com/file/d/1v6ehJcLkGQ5z6akhInhPwj6K9igOph9S/view?usp=drive_link
2022,D,Data Paralysis? Use Our Analysis!,https://drive.google.com/file/d/1aLBVUT0F2snDZaEtO1cqisqksXc-MHdh/view?usp=drive_link
2022,E,Forestry for Carbon Sequestration,https://drive.google.com/file/d/1vxHn2pylplcs2r3C6VMH5IOgAhbm0X98/view?usp=drive_link
2022,F,All for One and One (Space) for All!,https://drive.google.com/file/d/1NKHYMVSMZpyp53G-SSGFoazSZPoMk8Rr/view?usp=drive_link
2023,A,Drought-Stricken Plant Communities,https://drive.google.com/file/d/12NO8xTl3tMaF5O681-jgbCWamdqghu9a/view?usp=sharing
2023,B,Reimagining Maasai Mara,https://drive.google.com/file/d/1MY91XCKH6XAP0UwyNgzSxcFjT5alFwfh/view?usp=sharing
2023,C,Predicting Wordle Results,https://drive.google.com/file/d/19zE7n2P1U1RLwoWOaANoPItwmih6P-Lm/view?usp=sharing
2023,D,Prioritizing the UN Sustainability Goals,https://drive.google.com/file/d/1O85O4T3kwNzuixxquhXBjTr8dgEU-Lvn/view?usp=sharing
2023,E,Light Pollution,https://drive.google.com/file/d/1-hsjnSIhD3x-lWVqegtG4fzw3GMNJcyw/view?usp=sharing
2023,F,Green GDP,https://drive.google.com/file/d/1sv6l3vdjZ_OuZwYhzMz3MNjD6CshVp6B/view?usp=sharing
2023,Y,Understanding Used Sailboat Prices,https://drive.google.com/file/d/1FCfFx_Ncv3v25VwvxwhUCsD9i94mK8aX/view?usp=sharing
2023,Z,The Future of the Olympics,https://drive.google.com/file/d/1PoyQeDS6H2qKQSapgW7oR9-twN4tp9vc/view?usp=sharing
2024,A,Resource Availability and Sex Ratios,https://drive.google.com/file/d/1aRCS7BcLiCt1pyxkKhzjTY6DtkYaWDxP/view?usp=sharing
2024,B,Searching for Submersibles,https://drive.google.com/file/d/1FpQvS5WTWtT6z93RRcRgGOeOaiMPDWZc/view?usp=sharing
2024,C,Momentum in Tennis,https://drive.google.com/file/d/1Kw3b_O2-wTBuOr33oqllBTd7NQFgZf8U/view?usp=sharing
2024,D,Great Lakes Water Problem,https://drive.google.com/file/d/1_CPij4GV4X4Z2GQmXiIHYd-LG_Ch6oTn/view?usp=sharing
2024,E,Sustainability of Property Insurance,https://drive.google.com/file/d/1h8lkrZ0WEy0F3z0Sf8EJtI2FkwQefF25/view?usp=sharing
2024,F,Reducing Illegal Wildlife Trade,https://drive.google.com/file/d/1QsrrZHvyCZ7li1dxL9OCD6nQJUlHigfv/view?usp=sharing